architecture,training_resolution,evaluation_resolution,seed,protocol,k_norm,target_normalized_residual_energy_mean,target_normalized_residual_energy_std,target_normalized_residual_energy_se,n_test_samples,record_type,band,k_norm_left,k_norm_right,target_normalized_residual_energy,curve_total_target_normalized_residual_energy,fraction_of_residual_profile_total,n_bins_total,denominator
Corrected standard FNO,64,256,1,fixed-val128,0.826388888889,3.30863833198e-07,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,64,256,1,fixed-val128,0.840277777778,3.40572925874e-07,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,64,256,1,fixed-val128,0.854166666667,3.53731763158e-07,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,64,256,1,fixed-val128,0.868055555556,1.99060597479e-07,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,64,256,1,fixed-val128,0.881944444444,3.70846218269e-07,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,64,256,1,fixed-val128,0.895833333333,3.80008308539e-07,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,64,256,1,fixed-val128,0.909722222222,5.21328875697e-07,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,64,256,1,fixed-val128,0.923611111111,1.02899887752e-06,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,64,256,1,fixed-val128,0.9375,7.7311609626e-07,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,64,256,1,fixed-val128,0.951388888889,8.03449716274e-07,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,64,256,1,fixed-val128,0.965277777778,9.01746908198e-07,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,64,256,1,fixed-val128,0.979166666667,1.5651561942e-06,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,64,256,1,fixed-val128,0.993055555556,4.39857393172e-06,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,128,256,1,fixed-val128,0.00694444444444,0.00378252440717,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,128,256,1,fixed-val128,0.0208333333333,0.000670668125016,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,128,256,1,fixed-val128,0.0347222222222,0.000164250848791,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,128,256,1,fixed-val128,0.0486111111111,8.10152141454e-05,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,128,256,1,fixed-val128,0.0625,4.50095116242e-05,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,128,256,1,fixed-val128,0.0763888888889,5.49741630611e-05,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,128,256,1,fixed-val128,0.0902777777778,4.09817361453e-05,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,128,256,1,fixed-val128,0.104166666667,2.64162521767e-05,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,128,256,1,fixed-val128,0.118055555556,1.72217221813e-05,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,128,256,1,fixed-val128,0.131944444444,1.73958133556e-05,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,128,256,1,fixed-val128,0.145833333333,1.31410703259e-05,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,128,256,1,fixed-val128,0.159722222222,1.05945811073e-05,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,128,256,1,fixed-val128,0.173611111111,7.30121762676e-06,,,1000,radial_profile_bin,,,,,,,,
